,link,title,year,synopsis
269,/wiki/Empire_of_Gold,Empire of Gold,2013,"The series is a multi-generational saga that covers a twenty-year span from 1990 to 2010, and follows one chaebol family as it arises out of the ruins of the 1990s IMF financial crisis that wreaked  havoc on the Korean economy, becoming one of the top conglomerates in the nation. Three people become locked in a power struggle for control of this chaebol empire.
"
270,/wiki/Empress_Cheonchu,Empress Cheonchu,2009,"The drama is based on the historical Dowager Queen Empress Cheonchu of the Goryeo, who fought against the Liao Dynasty in order to achieve her Grandfather's personal dream of reclaiming old lands lost over the years to other associated tribes and countries such as the Khitans and some Jurchens.
"
271,/wiki/Empress_Ki_(TV_series),Empress Ki (TV series),2013–14,"The series revolves around Gi Seungnyang, a Goryeo-born woman who ascends to power despite the restrictions of the era's class system, and later marries Toghon Temür (Emperor of Mongol Empire) to become an empress of the  Yuan dynasty, instead of her first love, Wang Yu. It managed to highlight the deep love the Emperor embedded in Lady Ki and depicts her loves and political ambitions.
"
272,/wiki/Empress_Myeongseong_(TV_series),Empress Myeongseong (TV series),2001–02,
273,/wiki/Enchanting_Neighbor,Enchanting Neighbor,2015,
274,/wiki/Encounter_(South_Korean_TV_series),Encounter (South Korean TV series),2018–19,"Brought together by fate, a woman who seems to have everything and a young man who seems to have nothing decide to give up an ordinary life to be together. Cha Soo-hyun (Song Hye-kyo), daughter of a politician, lives a pathetic life guided by others. She was sold off (married to) to a rich family, only to divorce her husband because of his affairs. As a divorce condition of her former mother-in-law, Soo-hyun has to attend all her functions.
"
275,/wiki/Endless_Love_(2014_TV_series),Endless Love (2014 TV series),2014,"A period drama that tells the story of the loves, dreams, and ambitions of a woman who lived from the 1970s to the 1990s, an era of great political and economic upheaval in South Korea.
"
276,/wiki/Endless_Love_(2000_TV_series),Endless Love (2000 TV series),2000–06,
277,/wiki/Autumn_in_My_Heart,Autumn in My Heart,2000,"The story begins with toddler Yoon Joon-suh, accidentally causing the switch of his sister and another baby when he drops the name cards on the two babies' cribs in the hospital's baby room. A nurse who comes in puts the name cards back incorrectly. The story then jumps forward to the teenage years of the two main characters: Yoon Eun-suh (Moon Geun-young) and Yoon Joon-suh (Choi Woo-hyuk). Eun-suh is the most popular girl in class, which incites the jealousy of her rival, Choi Shin-ae (Lee Ae-jung). Shin-ae is smart but does not get the attention she craves from the teacher and her classmates.
"
278,/wiki/Spring_Waltz,Spring Waltz,2006,"Lee Soo-ho (Seo Do-young) is a wealthy young man who lives an honorable life as a gifted pianist. As a child, however, Jae-ha lived with his father who was a conman and endured a miserable childhood.
"
279,/wiki/Summer_Scent,Summer Scent,2003,"Yoo Min-woo's (Song Seung-heon) first love was Seo Eun-hye (Shin Ae). However, Eun-hye gets into a car accident and dies. Without Min-woo's knowledge, her parents decide to donate her organs. Shim Hye-won (Son Ye-jin) has suffered from a possibly fatal heart disease ever since childhood. Miraculously, she finds that she will be obtaining a heart from a donor, the deceased Eun-hye.
"
280,/wiki/Winter_Sonata,Winter Sonata,2002,"The story begins when Joon-sang (Bae Yong-joon), the son of an eminent musician, moves to Chuncheon, a rural city in South Korea. As an extraordinarily talented student, Joon-sang is welcomed by his fellow students as well as his teachers, but remains a quiet, introverted teenager. As a result of the belief that his biological father is dead, and serious disagreements with his mother, Joon-sang believes that no one truly loves him.
"
281,/wiki/Enemies_from_the_Past,Enemies from the Past,2017–18,"After her father left the family home after having an affair ten years previous, Choi Go-ya supports her family by doing part-time work. She is now looking for a full-time job. Min Ji-seok is a lawyer who specializes in divorces and is skeptical about marriage, but he meets Go-ya and gets close to her. However, they face difficulties as their families are enemies.
"
282,/wiki/Entertainer_(2016_TV_series),Entertainer (2016 TV series),2016,"Shin Suk-ho (Ji Sung) is a successful manager who works for KTOP entertainment, one of the largest entertainment companies in South Korea. After deciding to become independent and trying to develop his own company, Mango Entertainment, he suddenly faces many hardships and loses everything he has and goes to prison. After release, while he is trying to find a way back to life, he finds a talented high school student, Jo Ha-neul (Kang Min-hyuk) and decides to turn him into a famous singer. But he realizes that Ha-neul is an ex-convict and was accused for sexual abuse by his friend, Lee Ji-Young (Yoon Seo).
Shin Suk-ho starts a new journey with Ha-neul, forms the group 'Entertainer Band' (Ddandara band/ 딴다라 벤드), and tries to put things in their right place with the help of band members, his loyal friends and Jung Geu-rin (Lee Hye-ri), Ha-neul's hard-working sister.
"
283,/wiki/Entourage_(South_Korean_TV_series),Entourage (South Korean TV series),2016,"A story about a movie star and his entourage of buddies navigating their way through show business and enjoying all the perks along the way.
"
284,/wiki/Erexion,Erexion,2006,"On the distant planet Airon (Korean: 아이런), there was the Crystal tower which held ""the crystals,"" a powerful source of energy that kept the galaxy in balance. The evil Terra (Korean: 테라) however, tried to gain control of it and the brave general Kamo (Korean: 카모) stopped him by destroying the tower. The crystals divided into seven and were scattered all over the Earth, and Terra was dormant due to the explosion that knocked him out. Thus Li (Korean: 리 대사제), the high priestess of Airon, ventured off to Earth to find the seven pieces and restore balance along with her bodyguard Mok-gi and six individuals from the past, present, and future. As the Universe Seven (Korean: 천지 7인), Il-sung (Korean: 일성), Wur-hwa (Korean: 월화), Hwa-san (Korean: 화산), Soo-shim (Korean: 수심), Toh-ryuk (Korean: 토력), Geum-gang (Korean: 금강은), and Mok-gi (Korean: 목기) fight against the treacherous Chu-yi (Korean: 츄이) and the reawakened Terra in order to prevent the crystals to falling into the wrong hands.
"
285,/wiki/Evergreen_(TV_series),Evergreen (TV series),2018,"The story of two people who fall in love with each other due to a ""cupid"" possessing magical pollen.
"
286,/wiki/Everybody_Say_Kimchi,Everybody Say Kimchi,2014,"Yoo Ha-eun takes on the challenge of starting a kimchi business after being betrayed by her husband, lawyer Im Dong-joon. As she devotes her life to making quality kimchi, Ha-eun encounters resistance from Park Hyun-ji, the executive director of a rival conglomerate, as well as from her ex-husband. But unbeknownst to her, the owner of a neighboring farm, Shin Tae-kyung, secretly helps her and the two later fall in love.
"
287,/wiki/Exit_(2018_TV_series),Exit (2018 TV series),2018,"Living a life of sadness and debts, 33-year-old Do Kang-soo (Choi Tae-joon) works as a loan shark in Shinseong Capital for his and his father's sustenance. His mother Lee In-sook (Nam Gi-ae) has long been away from home since when Kang-soo was still a baby due to her husband Do Jung-man's (Woo Hyun) cruelty and drunkenness. Jung-man, now guilty of ruining his family, works for a junk shop despite his old age and declining health. Kang-soo has been trying to look for her mother but was conned by people claiming they can help him in his search. He had also been thinking so much on how to make his and his father's lives better, even contemplating on stealing money from his boss Hwang Tae-bok (Park Ho-san).
"
288,/wiki/Exo_Next_Door,Exo Next Door,2015,"Ji Yeon-hee (Moon Ga-young) is an extremely shy, introverted 23-year-old woman with zero dating experience and a tendency to blush when talking to someone she likes. One day, four young men move into the house right next door to Yeon-hee's home, and to her surprise, they turn out to be Chanyeol (Park Chanyeol), D.O. (Do Kyungsoo), Baekhyun (Byun Baekhyun) and Sehun (Oh Sehun) from her favorite boy band Exo, who are looking to lay low for a while. They hire her to clean their house part-time during the winter vacation and that's when Yeon-hee found out that Chanyeol was her long lost childhood friend and crush ""Chan"" and that he is the grandson of the house owner. As the story goes on, Yeon-hee soon becomes involved in a love triangle with Chanyeol and D.O.
"
289,/wiki/Extracurricular_(TV_series),Extracurricular (TV series),2020,"Oh Ji-soo (Kim Dong-hee) is a top student in his class. He runs an illegal business to earn money since he lives separately from his father.
"
290,/wiki/Extraordinary_You,Extraordinary You,2019,"The series follows high school girl Eun Dan-oh (Kim Hye-yoon) who is a student at a prestigious academy. One day, by chance, she discovers that the world she lives in is a fantasy world of comics. She and everyone else are merely characters in a comic book entitled Secret, all under the authority of their omnipotent and omniscient Writer. Dan-oh is only an extra character and, worse, the Writer gave her a lame set-up: she is engaged to her long-time crush who despises her, and she has a heart disease and is expected to die soon.
"
